I_true (A),Tc (°C),Tj (°C),Ts (°C),VDS (V),V_pre (V),V_final (V)
25,25,25.3919463625,25.3919463625,0.0373283892725,0.0746642,0.0698288
25,50,50.4446521409774,50.4446521409774,0.042347823471015,0.084703,0.0719704
25,75,75.5027474904477,75.5027474904477,0.0478807143475164,0.0957688,0.0704329
25,100,100.571244465079,100.571244465079,0.0544042360055714,0.108816,0.0683874
25,125,125.642523930361,125.642523930361,0.0611927571791083,0.122393,0.067444
25,150,150.721826889269,150.721826889269,0.0687454211423515,0.137498,0.0690646
50,25,26.57775219112,26.57775219112,0.075131100876448,0.150269,0.14007
50,50,51.7910478825512,51.7910478825512,0.0852880610683225,0.170583,0.143965
50,75,77.0276392086552,77.0276392086552,0.0965543723885007,0.193116,0.140655
50,100,102.304631195075,102.304631195075,0.10974450084534,0.219496,0.136538
50,125,127.59468794312,127.59468794312,0.123556812765872,0.24712,0.135004
50,150,152.918670233237,152.918670233237,0.138984695758601,0.277976,0.138732
75,25,28.587936551662,28.587936551662,0.113902761930997,0.227812,0.211107
75,50,54.0773932599821,54.0773932599821,0.129441079551588,0.258889,0.215938
75,75,79.6260350363743,79.6260350363743,0.146858307328372,0.293723,0.210419
75,100,105.260853504394,105.260853504394,0.167011291338559,0.334029,0.204258
75,125,130.932687980555,130.932687980555,0.1883394191825,0.376685,0.202894
75,150,156.688132808467,156.688132808467,0.212321895464637,0.42465,0.209738
100,25,31.4755712167444,31.4755712167444,0.154180456973395,0.308368,0.283189
100,50,57.3703966134715,57.3703966134715,0.175485949019855,0.350978,0.287636
100,75,83.3883750187814,83.3883750187814,0.199723910019533,0.399454,0.279366
100,100,109.547013970226,109.547013970226,0.227310775087844,0.454628,0.271417
100,125,135.791908874615,135.791908874615,0.256950290649537,0.513907,0.271505
100,150,162.205151241444,162.205151241444,0.290599005688364,0.581204,0.28307
