I_true (A),Tc (°C),VDS (V),U1 output (V)
25,25,0.037328,0.074656
25,50,0.042348,0.084696
25,75,0.047881,0.095762
25,100,0.054404,0.108808
25,125,0.061193,0.122386
25,150,0.068745,0.13749
50,25,0.075131,0.150262
50,50,0.085288,0.170576
50,75,0.096554,0.193108
50,100,0.109745,0.21949
50,125,0.123557,0.247114
50,150,0.138985,0.27797
75,25,0.113903,0.227806
75,50,0.129441,0.258882
75,75,0.146858,0.293716
75,100,0.167011,0.334022
75,125,0.188339,0.376678
75,150,0.212322,0.424644
100,25,0.15418,0.30836
100,50,0.175486,0.350972
100,75,0.199724,0.399448
100,100,0.227311,0.454622
100,125,0.25695,0.5139
100,150,0.290599,0.581198
