I_true (A),Tc (°C),VDS (V),U1 output (V)
25,25,0.037328,0.0821216
25,50,0.042348,0.0931656
25,75,0.047881,0.1053382
25,100,0.054404,0.11968880000000001
25,125,0.061193,0.1346246
25,150,0.068745,0.151239
50,25,0.075131,0.16528820000000002
50,50,0.085288,0.1876336
50,75,0.096554,0.21241880000000002
50,100,0.109745,0.24143900000000001
50,125,0.123557,0.2718254
50,150,0.138985,0.305767
75,25,0.113903,0.25058660000000005
75,50,0.129441,0.28477020000000003
75,75,0.146858,0.3230876
75,100,0.167011,0.36742420000000003
75,125,0.188339,0.41434580000000004
75,150,0.212322,0.46710840000000003
100,25,0.15418,0.33919600000000005
100,50,0.175486,0.38606920000000006
100,75,0.199724,0.4393928000000001
100,100,0.227311,0.5000842000000001
100,125,0.25695,0.5652900000000001
100,150,0.290599,0.6393178
